"Desired_number_of_samples, Actual_number_of_samples, Number_of_iterations, KL_div, KL_div_inv, KL_div_resampled, KL_div_resampled_inv"
10,10,4,0.9936,0.8174,0.9269,1.0552
20,20,15,0.1428,0.1309,0.1087,0.1413
50,50,98,0.1878,0.1853,0.2920,0.2571
100,99,53,0.0719,0.1082,0.1565,0.1454
150,143,14,0.0489,0.0571,0.0527,0.0635
200,187,28,0.0370,0.0406,0.0338,0.0429
250,228,49,0.0136,0.0125,0.0085,0.0176
300,269,44,0.0163,0.0154,0.0137,0.0180
350,304,40,0.0105,0.0106,0.0070,0.0148
400,335,20,0.0117,0.0192,0.0161,0.0299
450,366,43,0.0100,0.0095,0.0073,0.0116
500,383,46,0.0141,0.0182,0.0172,0.0201
10,10,3,1.5491,3.0312,1.4369,2.8987
20,20,58,0.4128,0.5945,0.6220,0.7236
50,50,28,0.1685,0.1938,0.2599,0.2102
100,99,29,0.1573,0.1438,0.1743,0.2658
150,143,86,0.0364,0.0756,0.1025,0.1105
200,187,45,0.0280,0.0265,0.0203,0.0348
250,228,78,-0.0236,0.0699,0.1545,0.1608
300,269,116,0.0168,0.0188,0.0159,0.0208
350,304,35,0.0184,0.0210,0.0167,0.0273
400,335,46,0.0507,0.0290,0.1523,0.1818
450,366,38,0.0117,0.0119,0.0101,0.0137
500,383,41,0.0107,0.0144,0.0106,0.0193
10,10,3,1.2022,5.4610,1.2974,5.4833
20,20,4,0.4848,0.3492,0.3926,0.4474
50,50,14,0.0865,0.1580,0.1947,0.1920
100,99,19,0.0706,0.0946,0.1365,0.1260
150,143,99,0.0211,0.1182,0.2120,0.1484
200,187,79,0.0372,0.0387,0.0389,0.0648
250,228,83,0.0232,0.0602,0.0825,0.0832
300,269,158,-0.0043,0.0860,0.1787,0.1458
350,304,51,0.0108,0.0104,0.0055,0.0159
400,335,33,0.0118,0.0126,0.0052,0.0195
450,366,175,0.0090,0.0111,0.0098,0.0161
500,383,49,0.0042,0.0041,0.0042,0.0041
10,10,7,0.4092,0.6015,0.3870,0.5841
20,20,31,0.4314,0.7750,0.4961,0.7505
50,50,12,0.0608,0.0838,0.1054,0.1084
100,99,65,0.0652,0.1019,0.1314,0.1263
150,143,15,0.0285,0.0544,0.0713,0.0695
200,187,54,0.0643,0.0490,0.1086,0.1794
250,228,72,-0.0151,0.0905,0.1476,0.1228
300,269,174,0.0371,0.0306,0.0950,0.1428
350,304,30,0.0209,0.0280,0.0268,0.0349
400,335,45,0.0115,0.0123,0.0084,0.0171
450,366,67,0.0268,0.0221,0.0596,0.0992
500,383,37,0.0095,0.0099,0.0100,0.0108
10,10,17,1.2822,2.7561,1.3300,2.6882
20,20,54,0.3729,0.3520,0.5113,0.4270
50,50,89,0.0726,0.1475,0.1285,0.1432
100,99,64,0.0575,0.1326,0.1949,0.1791
150,143,19,0.0513,0.1206,0.2070,0.2378
200,187,13,0.0351,0.0419,0.0453,0.0538
250,228,30,0.0185,0.0208,0.0186,0.0245
300,269,83,0.0126,0.0134,0.0102,0.0174
350,304,33,0.0116,0.0138,0.0097,0.0212
400,335,37,0.0070,0.0067,0.0051,0.0081
450,366,44,0.0057,0.0061,0.0020,0.0101
500,383,33,0.0189,0.0161,0.0764,0.1138
